recipe_external_id,diet_id
oats_apple,classic
oats_apple,vegetarian
cottage_nuts,classic
cottage_nuts,vegetarian
cottage_nuts,keto
omelet_tomato,classic
omelet_tomato,vegetarian
omelet_tomato,keto
omelet_tomato,paleo
oats_banana,classic
oats_banana,vegetarian
buckwheat_milk,classic
buckwheat_milk,vegetarian
rice_apple,classic
rice_apple,vegetarian
millet_milk,classic
millet_milk,vegetarian
greek_yogurt_banana,classic
greek_yogurt_banana,vegetarian
omelet_spinach,classic
omelet_spinach,vegetarian
omelet_spinach,keto
buckwheat_chicken,classic
veggie_salad,classic
veggie_salad,vegetarian
veggie_salad,vegan
veggie_salad,paleo
chicken_potato,classic
beef_buckwheat,classic
chicken_apple_salad,classic
chicken_apple_salad,paleo
buckwheat_egg,classic
buckwheat_egg,vegetarian
turkey_rice,classic
beef_pasta,classic
turkey_pearl_barley,classic
chicken_veggie_bowl,classic
chicken_veggie_bowl,paleo
fresh_salad_egg,classic
fresh_salad_egg,vegetarian
fresh_salad_egg,paleo
salmon_buckwheat,classic
lentil_soup,classic
lentil_soup,vegetarian
lentil_soup,vegan
salmon_vegetables,classic
salmon_vegetables,paleo
chicken_broth,classic
chicken_broth,paleo
cod_veggie,classic
cod_veggie,paleo
mackerel_potato,classic
white_bean_stew,classic
white_bean_stew,vegetarian
white_bean_stew,vegan
turkey_brokkoli,classic
turkey_brokkoli,paleo
turkey_brokkoli,keto
cabbage_chicken,classic
cabbage_chicken,paleo
cheese_sandwich,classic
cheese_sandwich,vegetarian
banana_nuts,classic
banana_nuts,vegetarian
banana_nuts,vegan
banana_nuts,paleo
cottage_apple,classic
cottage_apple,vegetarian
cottage_apple,keto
apple_nuts,classic
apple_nuts,vegetarian
apple_nuts,vegan
apple_nuts,paleo
kefir_apple,classic
kefir_apple,vegetarian
yogurt_nuts,classic
yogurt_nuts,vegetarian
yogurt_nuts,keto
cucumber_cottage,classic
cucumber_cottage,vegetarian
cucumber_cottage,keto
keto_avocado_eggs,keto
keto_avocado_eggs,classic
keto_avocado_eggs,paleo
keto_cheese_omelet,keto
keto_cheese_omelet,classic
keto_cheese_omelet,vegetarian
keto_cottage_coconut,keto
keto_cottage_coconut,classic
keto_cottage_coconut,vegetarian
keto_salmon_cream,keto
keto_salmon_cream,classic
keto_seabass_sour,keto
keto_seabass_sour,classic
keto_pork_cream,keto
keto_pork_cream,classic
keto_steak_butter,keto
keto_steak_butter,classic
keto_duck_cream,keto
keto_duck_cream,classic
keto_chicken_cream,keto
keto_chicken_cream,classic
keto_mackerel_lemon,keto
keto_mackerel_lemon,classic
keto_mackerel_lemon,paleo
keto_cheese_plate,keto
keto_cheese_plate,classic
keto_cheese_plate,vegetarian
keto_avocado_cottage,keto
keto_avocado_cottage,classic
keto_avocado_cottage,vegetarian
keto_almond_mix,keto
keto_almond_mix,classic
keto_almond_mix,vegetarian
vgn_oat_porridge,vegan
vgn_oat_porridge,vegetarian
vgn_oat_porridge,classic
vgn_oat_porridge,fasting
vgn_buckwheat_apple_seeds,vegan
vgn_buckwheat_apple_seeds,vegetarian
vgn_buckwheat_apple_seeds,classic
vgn_buckwheat_apple_seeds,fasting
vgn_smoothie_almond,vegan
vgn_smoothie_almond,vegetarian
vgn_smoothie_almond,classic
vgn_smoothie_almond,fasting
vgn_smoothie_almond,paleo
vgn_rice_raisins,vegan
vgn_rice_raisins,vegetarian
vgn_rice_raisins,classic
vgn_rice_raisins,fasting
vgn_lentil_soup,vegan
vgn_lentil_soup,vegetarian
vgn_lentil_soup,classic
vgn_lentil_soup,fasting
vgn_chickpea_salad,vegan
vgn_chickpea_salad,vegetarian
vgn_chickpea_salad,classic
vgn_chickpea_salad,fasting
vgn_bean_tomato,vegan
vgn_bean_tomato,vegetarian
vgn_bean_tomato,classic
vgn_bean_tomato,fasting
vgn_buckwheat_mushroom,vegan
vgn_buckwheat_mushroom,vegetarian
vgn_buckwheat_mushroom,classic
vgn_buckwheat_mushroom,fasting
vgn_pea_soup,vegan
vgn_pea_soup,vegetarian
vgn_pea_soup,classic
vgn_pea_soup,fasting
vgn_mushroom_pilaf,vegan
vgn_mushroom_pilaf,vegetarian
vgn_mushroom_pilaf,classic
vgn_mushroom_pilaf,fasting
vgn_tofu_stir,vegan
vgn_tofu_stir,vegetarian
vgn_tofu_stir,classic
vgn_tofu_stir,fasting
vgn_potato_beans,vegan
vgn_potato_beans,vegetarian
vgn_potato_beans,classic
vgn_potato_beans,fasting
vgn_apple_almonds,vegan
vgn_apple_almonds,vegetarian
vgn_apple_almonds,classic
vgn_apple_almonds,fasting
vgn_apple_almonds,paleo
vgn_dried_fruit_nuts,vegan
vgn_dried_fruit_nuts,vegetarian
vgn_dried_fruit_nuts,classic
vgn_dried_fruit_nuts,fasting
vgn_dried_fruit_nuts,paleo
vgn_seeds_mix,vegan
vgn_seeds_mix,vegetarian
vgn_seeds_mix,classic
vgn_seeds_mix,fasting
vgn_seeds_mix,paleo
paleo_eggs_veggies,paleo
paleo_eggs_veggies,classic
paleo_fruit_coconut_bowl,paleo
paleo_fruit_coconut_bowl,classic
paleo_fruit_coconut_bowl,vegan
paleo_fruit_coconut_bowl,vegetarian
paleo_fruit_coconut_bowl,fasting
paleo_walnut_apple_snack,paleo
paleo_walnut_apple_snack,classic
paleo_walnut_apple_snack,vegan
paleo_walnut_apple_snack,vegetarian
paleo_walnut_apple_snack,fasting
paleo_almond_coconut,paleo
paleo_almond_coconut,classic
paleo_almond_coconut,vegan
paleo_almond_coconut,vegetarian
paleo_almond_coconut,fasting
veg_mushroom_creamy_pasta,vegetarian
veg_mushroom_creamy_pasta,classic
veg_shakshuka,vegetarian
veg_shakshuka,classic
veg_potato_cheese,vegetarian
veg_potato_cheese,classic
veg_buckwheat_egg_mushroom,vegetarian
veg_buckwheat_egg_mushroom,classic
veg_lentil_veggie_stew,vegetarian
veg_lentil_veggie_stew,classic
fasting_pumpkin_millet,fasting
fasting_pumpkin_millet,vegan
fasting_pumpkin_millet,vegetarian
fasting_pumpkin_millet,classic
fasting_buckwheat_pumpkin,fasting
fasting_buckwheat_pumpkin,vegan
fasting_buckwheat_pumpkin,vegetarian
fasting_buckwheat_pumpkin,classic
fasting_potato_carrot_stew,fasting
fasting_potato_carrot_stew,vegan
fasting_potato_carrot_stew,vegetarian
fasting_potato_carrot_stew,classic
fasting_pearl_barley_veggie,fasting
fasting_pearl_barley_veggie,vegan
fasting_pearl_barley_veggie,vegetarian
fasting_pearl_barley_veggie,classic
fasting_veggie_borsch,fasting
fasting_veggie_borsch,vegan
fasting_veggie_borsch,vegetarian
fasting_veggie_borsch,classic
fasting_rice_pumpkin_raisins,fasting
fasting_rice_pumpkin_raisins,vegan
fasting_rice_pumpkin_raisins,vegetarian
fasting_rice_pumpkin_raisins,classic
fasting_apple_raisins,fasting
fasting_apple_raisins,vegan
fasting_apple_raisins,vegetarian
fasting_apple_raisins,classic
fasting_apple_raisins,paleo
keto_chicken_thigh_cream,keto
keto_chicken_thigh_cream,classic
keto_beef_avocado_cheese,keto
keto_beef_avocado_cheese,classic
keto_turkey_cream_brokkoli,keto
keto_turkey_cream_brokkoli,classic
